iter	Passed	Remaining
0	4	415
1	7	381
2	11	374
3	14	339
4	17	337
5	21	329
6	24	319
7	26	310
8	30	303
9	33	301
10	36	298
11	40	296
12	45	303
13	48	300
14	53	304
15	61	325
16	65	319
17	69	314
18	72	311
19	76	306
20	80	301
21	83	295
22	86	290
23	90	286
24	94	282
25	98	279
26	101	275
27	105	270
28	108	265
29	112	261
30	116	258
31	119	254
32	123	251
33	127	247
34	130	242
35	134	238
36	138	235
37	141	231
38	145	227
39	149	223
40	152	219
41	153	212
42	157	208
43	160	204
44	164	201
45	168	197
46	172	194
47	176	191
48	180	187
49	183	183
50	188	181
51	193	178
52	197	175
53	201	171
54	203	166
55	207	162
56	211	159
57	215	155
58	218	152
59	222	148
60	226	144
61	230	140
62	233	137
63	237	133
64	241	130
65	244	126
66	248	122
67	252	118
68	255	114
69	259	111
70	263	107
71	267	103
72	271	100
73	275	96
74	278	92
75	283	89
76	286	85
77	290	81
78	294	78
79	297	74
80	300	70
81	304	66
82	307	63
83	311	59
84	314	55
85	318	51
86	328	49
87	332	45
88	337	41
89	341	37
90	359	35
91	365	31
92	370	27
93	373	23
94	377	19
95	381	15
96	385	11
97	388	7
98	397	4
99	400	0
